excel_row,measurer_code,pedestal_id,pedestal,status_code,success,response
345,MD341,MWAP42434445-MD341,MWAP42434445,201,True,"{""message"":""Measurer Created, Id:345""}"
346,MD342,MWAP42434445-MD342,MWAP42434445,201,True,"{""message"":""Measurer Created, Id:346""}"
347,MD343,MWAP4567-MD343,MWAP4567,201,True,"{""message"":""Measurer Created, Id:347""}"
348,MD344,MWAP4567-MD344,MWAP4567,201,True,"{""message"":""Measurer Created, Id:348""}"
349,MD345,MWAP14151617-MD345,MWAP14151617,201,True,"{""message"":""Measurer Created, Id:349""}"
350,MD346,MWAP14151617-MD346,MWAP14151617,201,True,"{""message"":""Measurer Created, Id:350""}"
351,MD348,MWAP122-MD348,MWAP122,201,True,"{""message"":""Measurer Created, Id:351""}"
352,MD349,MWAP111213-MD349,MWAP111213,201,True,"{""message"":""Measurer Created, Id:352""}"
353,MD350,MWAP111213-MD350,MWAP111213,201,True,"{""message"":""Measurer Created, Id:353""}"
355,MD354,MWAP123124125126127-MD354,MWAP123124125126127,201,True,"{""message"":""Measurer Created, Id:354""}"
356,MD355,MWAP123124125126127-MD355,MWAP123124125126127,201,True,"{""message"":""Measurer Created, Id:355""}"
357,MD356,MWAP123124125126127-MD356,MWAP123124125126127,201,True,"{""message"":""Measurer Created, Id:356""}"
358,MD357,MWAP123124125126127-MD357,MWAP123124125126127,201,True,"{""message"":""Measurer Created, Id:357""}"
359,MD358,MWAP123124125126127-MD358,MWAP123124125126127,201,True,"{""message"":""Measurer Created, Id:358""}"
